Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
M5-IMU-Janice,8.449421644210815,-0.36,9.72,-1.38,-0.02,0.02,0.04,Unmarked
M5-IMU-Janice,8.509485721588135,-0.3,9.42,-1.46,-0.01,0.11,0.02,Unmarked
M5-IMU-Janice,8.629331111907959,1.32,8.78,-0.14,-0.55,0.26,0.03,Annotated
M5-IMU-Janice,8.750181436538696,1.04,9.04,-0.95,0.61,0.76,0.12,Annotated
M5-IMU-Janice,8.809790134429932,0.82,9.47,-1.39,0.35,-0.22,0.32,Annotated
M5-IMU-Janice,8.929858922958374,1.16,9.43,-3.4,0.35,0.14,0.25,Annotated
M5-IMU-Janice,9.04941987991333,0.55,9.28,-3.27,0.1,0.18,0.24,Annotated
M5-IMU-Janice,9.10829496383667,0.86,10.97,-2.46,-0.05,0.53,0.85,Annotated
M5-IMU-Janice,9.22866702079773,-1.88,14.14,-0.29,0.47,1.12,2.33,Annotated
M5-IMU-Janice,9.350239276885986,-3.31,13.24,-4.11,1.64,-2.67,3.47,Annotated
M5-IMU-Janice,9.409485578536987,-5.97,3.06,1.59,-0.71,-1.68,-3.56,Annotated
M5-IMU-Janice,9.587323665618896,16.29,15.69,-13.61,-3.13,-2.94,-3.98,Annotated
M5-IMU-Janice,9.647426843643188,-14.62,3.51,2.97,-0.97,4.23,-3.94,Annotated
M5-IMU-Janice,9.70845627784729,-4.71,17.48,-3.37,-0.66,1.3,0.43,Annotated
M5-IMU-Janice,9.829198837280273,-0.85,9.41,-2.25,0.39,0.19,0.35,Annotated
M5-IMU-Janice,9.94844937324524,-1.64,9.31,-2.94,0.31,0.58,0.07,Annotated
M5-IMU-Janice,10.008320093154907,-0.4,9.67,-2.81,0.06,0.3,0.07,Annotated
M5-IMU-Janice,10.129470586776733,-0.62,9.14,-2.56,-0.29,0.03,-0.14,Annotated
M5-IMU-Janice,10.249315023422241,-0.02,9.39,-1.85,-0.07,-0.06,-0.03,Annotated
M5-IMU-Janice,10.308826208114624,0.03,10.03,-1.93,0.17,-0.09,0.14,Annotated
M5-IMU-Janice,10.427814960479736,-1.26,9.04,-2.4,0.06,0.57,0.17,Annotated
M5-IMU-Janice,10.548992156982422,0.1,9.09,-2.44,-0.05,-0.31,0.06,Annotated
M5-IMU-Janice,10.608227729797363,-0.29,9.62,-1.92,0.08,-0.5,0.15,Annotated
M5-IMU-Janice,10.728743553161621,-0.49,9.22,-2.44,0.19,-0.39,0.39,Annotated
M5-IMU-Janice,10.84865689277649,0.71,9.2,-1.97,0.29,-0.11,0.25,Annotated
M5-IMU-Janice,10.909243822097778,2.66,9.64,-1.72,0.4,-0.18,0.32,Annotated
M5-IMU-Janice,11.02805495262146,2.02,8.89,-1.98,-0.14,0.96,-0.26,Annotated
M5-IMU-Janice,11.148743629455566,0.63,9.22,-3.22,-0.34,-0.09,-0.31,Annotated
M5-IMU-Janice,11.20909595489502,-0.49,9.07,-3.0,-0.39,0.2,-0.27,Annotated
M5-IMU-Janice,11.32857894897461,0.56,9.54,-1.75,0.04,-0.2,0.04,Annotated
M5-IMU-Janice,11.448521614074707,0.42,9.53,-2.39,0.08,-0.13,0.19,Annotated
M5-IMU-Janice,11.507936716079712,0.57,9.3,-3.02,-0.02,-0.09,0.11,Annotated
M5-IMU-Janice,11.629418134689331,0.5,9.41,-2.67,-0.08,-0.36,-0.1,Annotated
M5-IMU-Janice,11.807384490966797,0.48,9.58,-2.52,-0.0,0.07,-0.02,Annotated
