Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Label
9.893642902,1.27,9.55,-0.23,-0.03,0,0.01,Stand
9.997895956,1.36,9.6,-0.29,-0.03,0,0.02,Stand
10.10295701,1.33,9.56,-0.26,-0.04,0.01,0.03,Stand
10.20772982,1.34,9.54,-0.22,-0.04,0,0.01,Stand
10.31351495,1.41,9.6,-0.19,-0.04,0,0,Stand
10.41822696,1.29,9.53,-0.11,-0.04,0,0,Stand
10.52293086,1.34,9.56,-0.14,-0.05,0,0,Stand
10.62744021,1.3,9.58,-0.21,-0.04,-0.01,0,Stand
10.73276114,1.38,9.59,-0.1,-0.04,-0.01,-0.01,Stand
10.83839893,1.26,9.55,-0.05,-0.04,-0.01,0,Stand
10.94304991,1.34,9.6,-0.05,-0.04,-0.02,0,Stand
11.04816103,1.34,9.55,0,-0.04,-0.01,0,Stand
11.15325403,1.3,9.58,0,-0.05,-0.02,0,Stand
11.25709796,1.26,9.54,0.04,-0.03,-0.02,0,Stand
11.36250901,1.3,9.62,-0.02,-0.03,-0.02,0,Stand
11.46731997,1.29,9.57,0.05,-0.02,-0.02,0.01,Stand
11.57221198,1.25,9.56,0.04,-0.03,-0.02,0.01,Stand
11.67740417,1.27,9.58,0.08,-0.03,-0.01,0.01,Stand
11.78211308,1.27,9.55,0.07,-0.02,-0.02,0.01,Stand
11.88749099,1.26,9.56,0.07,-0.02,-0.02,0.01,Stand
11.99251699,1.34,9.58,0.08,-0.02,-0.01,0.02,Stand
12.09739804,1.29,9.57,0.08,-0.02,-0.02,0.01,Stand
12.20265913,1.28,9.56,0.08,-0.03,-0.01,0,Stand
12.30750895,1.29,9.54,0.13,-0.03,-0.02,0,Stand
12.42264485,1.31,9.57,0.14,-0.02,-0.03,0,Stand
12.517483,1.3,9.58,0.09,-0.02,-0.03,0.01,Stand
12.62204599,1.32,9.57,0.09,-0.02,-0.02,0.01,Stand
12.72699499,1.26,9.56,0.12,-0.03,-0.02,0.01,Stand
12.83243895,1.35,9.55,0.2,-0.02,-0.02,0.01,Stand
12.937181,1.39,9.6,0.14,-0.01,-0.02,0.01,Stand
13.04192519,1.28,9.61,0.12,-0.02,-0.02,0.01,Stand
13.1620779,1.3,9.59,0.12,-0.02,-0.02,0.01,Stand
13.25173092,1.26,9.56,0.08,-0.02,-0.02,0.01,Stand
13.35675597,1.29,9.56,0.1,-0.02,-0.02,0.01,Stand
13.46150017,1.3,9.56,0.11,-0.02,-0.02,0.01,Stand
13.56758094,1.25,9.56,0.11,-0.01,-0.02,0.01,Stand
13.6715641,1.28,9.56,0.1,-0.02,-0.02,0.01,Stand
13.77702284,1.3,9.56,0.1,-0.03,-0.02,0.01,Stand
13.88214493,1.29,9.57,0.12,-0.01,-0.02,0.01,Stand
13.98707104,1.27,9.56,0.08,-0.02,-0.02,0.01,Stand
14.09215903,1.28,9.56,0.11,-0.01,-0.03,0.01,Stand
14.19713998,1.32,9.58,0.1,-0.01,-0.02,0.01,Stand
14.30247498,1.32,9.59,0.13,-0.03,-0.02,0.01,Stand
14.42123485,1.33,9.54,0.14,-0.02,-0.02,0.01,Stand
14.51347494,1.3,9.55,0.07,-0.01,-0.02,0.01,Stand
14.61773205,1.42,9.66,0.08,-0.02,-0.02,0.01,Stand
14.72185707,1.34,9.55,0.1,-0.03,-0.02,0.02,Stand
14.82621789,1.34,9.57,0.13,-0.03,-0.01,0.01,Stand
14.93239284,1.3,9.55,0.15,-0.02,-0.02,0,Stand
15.03803205,1.28,9.56,0.15,-0.03,-0.02,0,Stand
15.14307308,1.26,9.54,0.12,-0.02,-0.03,-0.01,Stand
15.2469418,1.2,9.52,0.16,-0.03,-0.02,-0.01,Stand
15.35300493,1.19,9.51,0.14,-0.02,-0.03,-0.02,Stand
15.45810199,1.27,9.57,0.16,-0.03,-0.03,-0.01,Stand
15.56249213,1.25,9.64,0.14,-0.02,-0.03,-0.02,Stand
15.66901398,1.19,9.58,0.14,-0.03,-0.01,-0.01,Stand
15.77245307,1.14,9.59,0.08,-0.03,-0.01,0,Stand
15.87711096,1.12,9.56,0.08,-0.03,-0.02,0,Stand
15.9825871,1.16,9.55,0.21,-0.03,-0.03,0,Stand
16.08717108,1.15,9.6,0.24,-0.02,-0.03,0.01,Stand
16.19305396,1.11,9.59,0.18,-0.03,-0.02,0.01,Stand
16.29806995,1.11,9.55,0.23,-0.01,-0.02,0.02,Stand
16.40216589,1.18,9.61,0.2,-0.02,-0.02,0.01,Stand
16.507025,1.14,9.56,0.24,-0.03,-0.03,0,Stand
16.61299515,1.2,9.59,0.26,-0.02,-0.04,0,Stand
16.71790624,1.06,9.55,0.23,-0.01,-0.03,0.02,Stand
16.82350683,1.17,9.59,0.17,0,-0.02,0.02,Stand
16.92816091,1.3,9.65,0.17,-0.01,-0.02,0.01,Stand
17.03245807,1.18,9.59,0.17,-0.03,-0.02,0,Stand
17.13791203,1.13,9.54,0.27,-0.02,-0.03,-0.01,Stand
17.24176621,1.14,9.51,0.26,0,-0.02,0,Stand
17.3464911,1.18,9.6,0.17,0,-0.02,0.01,Stand
17.45251918,1.17,9.56,0.19,-0.01,-0.02,0.02,Stand
17.55766296,1.15,9.64,0.09,-0.01,-0.03,0.02,Stand
17.66238308,1.17,9.56,0.13,0,-0.03,0.01,Stand
17.767488,1.15,9.57,0.1,0,-0.04,0.01,Stand
17.87229896,1.24,9.62,0.1,0.01,-0.04,0.01,Stand
17.97787404,1.2,9.56,0.05,0,-0.04,0,Stand
18.08250999,1.18,9.58,0.06,-0.01,-0.03,0.01,Stand
18.18782783,1.15,9.54,0.06,-0.01,-0.03,0.01,Stand
18.29294205,1.15,9.58,0.02,0,-0.03,0,Stand
18.39682102,1.18,9.6,0.05,-0.01,-0.03,0.01,Stand
18.50195289,1.17,9.56,0.02,-0.01,-0.03,0.01,Stand
18.60721397,1.21,9.59,0,0.01,-0.03,0.02,Stand
18.71228004,1.2,9.58,-0.03,-0.01,-0.02,0.02,Stand
18.81748915,1.19,9.62,-0.11,-0.01,-0.02,0.02,Stand
18.92210102,1.3,9.63,-0.1,-0.02,-0.02,0.01,Stand
19.02789497,1.25,9.63,-0.06,-0.03,-0.02,-0.01,Stand
19.13257217,1.24,9.58,-0.02,-0.02,-0.03,-0.01,Stand
19.23825002,1.19,9.56,0,-0.01,-0.04,0.01,Stand
19.34261012,1.27,9.6,-0.08,0,-0.02,0.01,Stand
19.44636583,1.21,9.63,-0.14,-0.03,-0.02,0.02,Stand
19.55260992,1.2,9.55,-0.05,-0.02,-0.03,0,Stand
19.65794897,1.22,9.59,-0.05,0,-0.04,0,Stand
19.7627902,1.19,9.55,-0.07,-0.01,-0.03,0.02,Stand
19.86818504,1.25,9.61,-0.1,0,-0.02,0.02,Stand
19.97303104,1.11,9.51,-0.11,0,-0.03,0.02,Stand
20.07743883,1.33,9.58,-0.06,0,-0.02,0.03,Stand
20.18256402,1.26,9.6,-0.26,-0.02,-0.01,0.02,Stand
20.28769612,1.36,9.65,-0.13,-0.02,-0.01,0.01,Stand
20.39198303,1.25,9.58,-0.17,-0.03,-0.01,0.01,Stand
20.4973979,1.29,9.56,-0.11,-0.04,-0.03,0.01,Stand
20.60292196,1.27,9.56,-0.1,-0.02,-0.03,-0.01,Stand
20.70749784,1.14,9.52,-0.06,-0.02,-0.02,-0.01,Stand
20.84215713,1.24,9.55,-0.13,-0.03,-0.01,0.02,Stand
20.91718912,1.15,9.52,-0.11,-0.03,0,0.03,Stand
21.02287793,1.1,9.41,-0.07,-0.02,-0.03,0.05,Stand
21.1272409,1.5,9.61,-0.07,0.02,-0.04,0.02,Stand
21.23191714,1.3,9.57,-0.22,-0.01,-0.03,0,Stand
21.33784389,1.36,9.59,-0.16,-0.05,0,0.02,Stand
21.44292092,1.44,9.61,-0.02,-0.03,-0.01,0.02,Stand
21.54786992,1.47,9.62,-0.06,-0.02,-0.01,0.04,Stand
21.652771,1.41,9.57,-0.11,-0.01,-0.03,0,Stand
21.75782299,1.28,9.52,-0.11,-0.03,-0.02,0.01,Stand
21.86255407,1.39,9.59,-0.11,-0.05,-0.01,0,Stand
21.96791601,1.35,9.56,-0.06,-0.05,0,-0.01,Stand
22.07211208,1.4,9.62,0,-0.05,-0.01,0,Stand
22.17758298,1.32,9.61,-0.08,-0.03,-0.02,0,Stand
22.28292203,1.28,9.56,0,-0.04,-0.01,0.01,Stand
22.38797212,1.34,9.59,0.03,-0.04,-0.02,0,Stand
22.49322391,1.34,9.62,0.05,-0.04,-0.01,0,Stand
22.59787703,1.37,9.59,0.06,-0.04,-0.01,-0.01,Stand
22.70304608,1.28,9.6,0.07,-0.03,-0.01,0,Stand
22.80694795,1.26,9.55,0.08,-0.03,-0.01,-0.01,Stand
