Device,Time (s),Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z,Annotation
MPY ESP32,7.387538909912109,1.13,9.57,-0.26,-0.01,-0.03,0.01,Unmarked
MPY ESP32,7.477297782897949,1.17,9.57,-0.27,-0.0,-0.04,0.01,Unmarked
MPY ESP32,7.582067966461182,1.21,9.58,-0.32,0.01,-0.03,0.03,Unmarked
MPY ESP32,7.686669111251831,1.21,9.59,-0.4,0.01,-0.01,0.03,Unmarked
MPY ESP32,7.792068004608154,1.21,9.57,-0.39,-0.01,-0.01,0.03,Unmarked
MPY ESP32,7.897485971450806,1.24,9.56,-0.37,-0.01,-0.0,0.02,Unmarked
MPY ESP32,8.032106876373291,1.29,9.59,-0.4,-0.02,-0.01,0.02,Unmarked
MPY ESP32,8.106781005859375,1.33,9.58,-0.37,-0.02,-0.02,0.01,Unmarked
MPY ESP32,8.212185144424438,1.28,9.57,-0.38,-0.03,-0.02,0.0,Unmarked
MPY ESP32,8.317461967468262,1.21,9.56,-0.37,-0.04,-0.02,0.0,Unmarked
MPY ESP32,8.422178983688354,1.28,9.65,-0.4,-0.03,-0.04,-0.01,Unmarked
MPY ESP32,8.527442932128906,1.19,9.56,-0.29,-0.02,-0.05,-0.01,Unmarked
MPY ESP32,8.632306814193726,1.22,9.57,-0.33,-0.0,-0.04,0.01,Unmarked
MPY ESP32,8.736996173858643,1.27,9.61,-0.32,-0.01,-0.02,0.02,Unmarked
MPY ESP32,8.842422008514404,1.24,9.55,-0.41,-0.01,-0.02,0.02,Unmarked
MPY ESP32,8.94685697555542,1.32,9.55,-0.35,-0.01,-0.0,0.03,Unmarked
MPY ESP32,9.052681922912598,1.31,9.57,-0.35,-0.02,0.0,0.02,Unmarked
MPY ESP32,9.15890097618103,1.27,9.57,-0.38,-0.03,0.01,0.03,Unmarked
MPY ESP32,9.262628078460693,1.3,9.58,-0.43,-0.02,-0.0,0.02,Unmarked
MPY ESP32,9.367625951766968,1.32,9.55,-0.39,-0.03,-0.0,0.02,Unmarked
MPY ESP32,9.47227692604065,1.38,9.59,-0.34,-0.03,-0.0,0.01,Unmarked
MPY ESP32,9.57776403427124,1.36,9.57,-0.34,-0.04,-0.0,0.01,Unmarked
MPY ESP32,9.683073997497559,1.36,9.54,-0.28,-0.04,0.0,0.01,Unmarked
MPY ESP32,9.78781509399414,1.28,9.55,-0.27,-0.04,-0.01,0.0,Unmarked
MPY ESP32,9.893642902374268,1.27,9.55,-0.23,-0.03,-0.0,0.01,Unmarked
MPY ESP32,9.997895956039429,1.36,9.6,-0.29,-0.03,-0.0,0.02,Unmarked
MPY ESP32,10.102957010269165,1.33,9.56,-0.26,-0.04,0.01,0.03,Unmarked
MPY ESP32,10.207729816436768,1.34,9.54,-0.22,-0.04,-0.0,0.01,Unmarked
MPY ESP32,10.313514947891235,1.41,9.6,-0.19,-0.04,0.0,-0.0,Unmarked
MPY ESP32,10.418226957321167,1.29,9.53,-0.11,-0.04,-0.0,0.0,Unmarked
MPY ESP32,10.52293086051941,1.34,9.56,-0.14,-0.05,-0.0,-0.0,Unmarked
MPY ESP32,10.627440214157104,1.3,9.58,-0.21,-0.04,-0.01,-0.0,Unmarked
MPY ESP32,10.732761144638062,1.38,9.59,-0.1,-0.04,-0.01,-0.01,Unmarked
MPY ESP32,10.838398933410645,1.26,9.55,-0.05,-0.04,-0.01,-0.0,Unmarked
MPY ESP32,10.943049907684326,1.34,9.6,-0.05,-0.04,-0.02,-0.0,Unmarked
MPY ESP32,11.048161029815674,1.34,9.55,0.0,-0.04,-0.01,0.0,Unmarked
MPY ESP32,11.15325403213501,1.3,9.58,0.0,-0.05,-0.02,0.0,Unmarked
MPY ESP32,11.257097959518433,1.26,9.54,0.04,-0.03,-0.02,-0.0,Unmarked
MPY ESP32,11.36250901222229,1.3,9.62,-0.02,-0.03,-0.02,0.0,Unmarked
MPY ESP32,11.467319965362549,1.29,9.57,0.05,-0.02,-0.02,0.01,Unmarked
MPY ESP32,11.572211980819702,1.25,9.56,0.04,-0.03,-0.02,0.01,Unmarked
MPY ESP32,11.677404165267944,1.27,9.58,0.08,-0.03,-0.01,0.01,Unmarked
MPY ESP32,11.782113075256348,1.27,9.55,0.07,-0.02,-0.02,0.01,Unmarked
MPY ESP32,11.88749098777771,1.26,9.56,0.07,-0.02,-0.02,0.01,Unmarked
MPY ESP32,11.992516994476318,1.34,9.58,0.08,-0.02,-0.01,0.02,Unmarked
MPY ESP32,12.097398042678833,1.29,9.57,0.08,-0.02,-0.02,0.01,Unmarked
MPY ESP32,12.202659130096436,1.28,9.56,0.08,-0.03,-0.01,0.0,Unmarked
MPY ESP32,12.307508945465088,1.29,9.54,0.13,-0.03,-0.02,0.0,Unmarked
MPY ESP32,12.422644853591919,1.31,9.57,0.14,-0.02,-0.03,0.0,Unmarked
MPY ESP32,12.517482995986938,1.3,9.58,0.09,-0.02,-0.03,0.01,Unmarked
MPY ESP32,12.622045993804932,1.32,9.57,0.09,-0.02,-0.02,0.01,Unmarked
MPY ESP32,12.72699499130249,1.26,9.56,0.12,-0.03,-0.02,0.01,Unmarked
MPY ESP32,12.832438945770264,1.35,9.55,0.2,-0.02,-0.02,0.01,Unmarked
MPY ESP32,12.937180995941162,1.39,9.6,0.14,-0.01,-0.02,0.01,Unmarked
MPY ESP32,13.041925191879272,1.28,9.61,0.12,-0.02,-0.02,0.01,Unmarked
MPY ESP32,13.162077903747559,1.3,9.59,0.12,-0.02,-0.02,0.01,Unmarked
MPY ESP32,13.251730918884277,1.26,9.56,0.08,-0.02,-0.02,0.01,Unmarked
MPY ESP32,13.35675597190857,1.29,9.56,0.1,-0.02,-0.02,0.01,Unmarked
MPY ESP32,13.46150016784668,1.3,9.56,0.11,-0.02,-0.02,0.01,Unmarked
MPY ESP32,13.567580938339233,1.25,9.56,0.11,-0.01,-0.02,0.01,Unmarked
MPY ESP32,13.671564102172852,1.28,9.56,0.1,-0.02,-0.02,0.01,Unmarked
MPY ESP32,13.77702283859253,1.3,9.56,0.1,-0.03,-0.02,0.01,Unmarked
MPY ESP32,13.882144927978516,1.29,9.57,0.12,-0.01,-0.02,0.01,Unmarked
MPY ESP32,13.98707103729248,1.27,9.56,0.08,-0.02,-0.02,0.01,Unmarked
MPY ESP32,14.092159032821655,1.28,9.56,0.11,-0.01,-0.03,0.01,Unmarked
MPY ESP32,14.197139978408813,1.32,9.58,0.1,-0.01,-0.02,0.01,Unmarked
MPY ESP32,14.302474975585938,1.32,9.59,0.13,-0.03,-0.02,0.01,Unmarked
MPY ESP32,14.421234846115112,1.33,9.54,0.14,-0.02,-0.02,0.01,Unmarked
MPY ESP32,14.513474941253662,1.3,9.55,0.07,-0.01,-0.02,0.01,Unmarked
MPY ESP32,14.617732048034668,1.42,9.66,0.08,-0.02,-0.02,0.01,Unmarked
MPY ESP32,14.721857070922852,1.34,9.55,0.1,-0.03,-0.02,0.02,Unmarked
MPY ESP32,14.826217889785767,1.34,9.57,0.13,-0.03,-0.01,0.01,Unmarked
MPY ESP32,14.932392835617065,1.3,9.55,0.15,-0.02,-0.02,0.0,Unmarked
MPY ESP32,15.038032054901123,1.28,9.56,0.15,-0.03,-0.02,-0.0,Unmarked
MPY ESP32,15.143073081970215,1.26,9.54,0.12,-0.02,-0.03,-0.01,Unmarked
MPY ESP32,15.246941804885864,1.2,9.52,0.16,-0.03,-0.02,-0.01,Unmarked
